title,price,image,price_clean
PANFILA SIDE BY SIDE 2D PRFB5611GB,Rp 10.396.900,https://loginmegastore.com/uploads/product/0134-0178-0160_thumb.png?w=400&h=400&fit=contain,10396900
PANFILA SIDE BY SIDE 2D PRFB6411GB,Rp 12.291.600,https://loginmegastore.com/uploads/product/0134-0178-0161_thumb.png?w=400&h=400&fit=contain,12291600
PANFILA 4D REF PRFM4310,Rp 10.502.200,https://loginmegastore.com/uploads/product/0134-0180-0141_thumb.jpeg?w=400&h=400&fit=contain,10502200
SHARP 4D REF SJIF51PGBK,Rp 10.396.900,https://loginmegastore.com/uploads/product/AA003914_thumb.jpg?w=400&h=400&fit=contain,10396900
BEKO SIDE BY SIDE 3D GNO610E00GUID,Rp 11.765.300,https://loginmegastore.com/uploads/product/0477-0179-0038_thumb.png?w=400&h=400&fit=contain,11765300
LG SIDE BY SIDE 4D GCV22FFQMB,Rp 23.607.400,https://loginmegastore.com/uploads/product/0103-0180-1454_thumb.png?w=400&h=400&fit=contain,23607400
PANFILA SIDE BY SIDE 2D PRFB5610,Rp 9.449.500,https://loginmegastore.com/uploads/product/0134-0178-0140_thumb.jpeg?w=400&h=400&fit=contain,9449500
HITACHI SIDE BY SIDE 2D HRSN9552DDXID,Rp 11.344.300,https://loginmegastore.com/uploads/product/0081-0178-0375_thumb.png?w=400&h=400&fit=contain,11344300
SAMSUNG SIDE BY SIDE 2D RS70F65QNTSE,Rp 15.156.900,https://loginmegastore.com/uploads/product/0144-0178-2088_thumb.png?w=400&h=400&fit=contain,15156900
SAMSUNG SIDE BY SIDE 2D RS57DG4000M9,Rp 9.999.000,https://loginmegastore.com/uploads/product/0144-0178-2087_thumb.png?w=400&h=400&fit=contain,9999000
SAMSUNG SIDE BY SIDE 2D RS70F65QNFSE,Rp 15.788.500,https://loginmegastore.com/uploads/product/0144-0178-2089_thumb.png?w=400&h=400&fit=contain,15788500
HISENSE SIDE BY SIDE 2D RS808N4IBU,Rp 10.712.700,https://loginmegastore.com/uploads/product/0535-0178-0077_thumb.png?w=400&h=400&fit=contain,10712700
MODENA SIDE BY SIDE 2D RF4670SABK,Rp 8.144.300,https://loginmegastore.com/uploads/product/0121-0178-0487_thumb.png?w=400&h=400&fit=contain,8144300
PANASONIC SIDE BY SIDE 2D NRSC631BGHD,Rp 13.291.600,https://loginmegastore.com/uploads/product/0133-0178-0785_thumb.png?w=400&h=400&fit=contain,13291600
SHARP 2D REF SJ426GIGW,Rp 5.607.400,https://loginmegastore.com/uploads/product/202603/product-v3suzpx85ngjaej2qhav1v5i.png?w=400&h=400&fit=contain,5607400
PB CONTAINER BOX JP004 KOTAK CONTAINER MAKANAN KULKAS LARGE,Rp 101.500,https://loginmegastore.com/uploads/product/0707-0412-0043_thumb.png?w=400&h=400&fit=contain,101500
PB CONTAINER BOX JP001 KOTAK CONTAINER MAKANAN KULKAS SMALL,Rp 100.000,https://loginmegastore.com/uploads/product/0707-0412-0041_thumb.png?w=400&h=400&fit=contain,100000
PB CONTAINER BOX JP002 KOTAK CONTAINER MAKANAN KULKAS MEDIUM,Rp 89.000,https://loginmegastore.com/uploads/product/0707-0412-0042_thumb.png?w=400&h=400&fit=contain,89000
PB CONTAINER BOX JP101 KOTAK CONTAINER MAKANAN KULKAS KALENG,Rp 33.500,https://loginmegastore.com/uploads/product/0707-0412-0044_thumb.png?w=400&h=400&fit=contain,33500
PB FOOD CONTAINER HMC118SB KOTAK PENYIMPANAN MAKANAN KULKAS SMALL BIRU,Rp 32.000,https://loginmegastore.com/uploads/product/0707-0357-0023_thumb.png?w=400&h=400&fit=contain,32000
PB FOOD CONTAINER HMC118LW KOTAK PENYIMPANAN MAKANAN KULKAS LARGE PUTIH,Rp 49.500,https://loginmegastore.com/uploads/product/0707-0357-0022_thumb.png?w=400&h=400&fit=contain,49500
